,Year,Country Code,Country Name,Region,Income Group,Lending Type,MS.MIL.MPRT.KD,MS.MIL.XPND.CD,MS.MIL.XPND.GD.ZS
44,2007,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,2000000,1310000000,2.56823582
45,2007,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,690000000,3306908257,2.379634675
47,2007,ESP,Spain,Europe & Central Asia,High income,Not classified,339000000,20065668635,1.363106312
48,2007,EST,Estonia,Europe & Central Asia,High income,Not classified,19000000,371974547.4,1.657582134
50,2007,FIN,Finland,Europe & Central Asia,High income,Not classified,141000000,3296557750,1.290887944
52,2007,FRA,France,Europe & Central Asia,High income,Not classified,74000000,50684467384,1.907528634
54,2007,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,796000000,73448032014,2.374207748
55,2007,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,161000000,931750564.2,9.159116517
56,2007,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,16000000,126077789,0.509249882
59,2007,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD,28000000,196314371.7,1.501825825
60,2007,GRC,Greece,Europe & Central Asia,High income,Not classified,1703000000,8533090258,2.679305921
64,2007,HRV,Croatia,Europe & Central Asia,High income,IBRD,19000000,978853732.1,1.628430615
65,2007,HUN,Hungary,Europe & Central Asia,High income,Not classified,196000000,1776464117,1.270258106
66,2007,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,580000000,3348758342,0.712361931
67,2007,IND,India,South Asia,Lower middle income,IBRD,2275000000,28254773450,2.478248209
68,2007,IRL,Ireland,Europe & Central Asia,High income,Not classified,19000000,1372225370,0.508412566
69,2007,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,329000000,9330901882,2.653982821
70,2007,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,275000000,1989948747,2.239928025
72,2007,ISR,Israel,Middle East & North Africa,High income,Not classified,832000000,11382202878,6.367865558
73,2007,ITA,Italy,Europe & Central Asia,High income,Not classified,515000000,31982431792,1.447052519
74,2007,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,13000000,83511942.1,0.65245791
75,2007,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,181000000,1032440056,6.03391737
76,2007,JPN,Japan,East Asia & Pacific,High income,Not classified,517000000,40530045688,0.897626654
77,2007,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,82000000,1359776099,1.296876822
78,2007,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,10000000,494684896.7,1.54791228
80,2007,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,56000000,79015425.88,0.914612028
81,2007,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1727000000,27726129585,2.469638856
82,2007,KWT,Kuwait,Middle East & North Africa,High income,Not classified,288000000,4115736734,3.590337779
84,2007,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,5000000,1152238806,4.632398404
86,2007,LBY,Libya,Middle East & North Africa,Upper middle income,IBRD,16000000,639137046.2,0.946677517
87,2007,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,90000000,1054816810,3.260608357
89,2007,LTU,Lithuania,Europe & Central Asia,High income,Not classified,4000000,442004493.3,1.113607567
91,2007,LVA,Latvia,Europe & Central Asia,High income,Not classified,51000000,481492627.1,1.552872371
92,2007,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,27000000,2408350250,3.046953664
97,2007,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,8000000,110376888,1.355034028
105,2007,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,519000000,3970537327,1.958502533
106,2007,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,6000000,228174673.6,2.610424557
107,2007,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,60000000,971321378.6,0.370354831
108,2007,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA,14000000,39472043.8,0.531726215
109,2007,NLD,Netherlands,Europe & Central Asia,High income,Not classified,237000000,11480377424,1.354716798
110,2007,NOR,Norway,Europe & Central Asia,High income,Not classified,596000000,5875288100,1.465381485
112,2007,NZL,New Zealand,East Asia & Pacific,High income,Not classified,81000000,1713995943,1.272014268
113,2007,OMN,Oman,Middle East & North Africa,High income,Not classified,12000000,3244603381,7.709505959
114,2007,PAK,Pakistan,South Asia,Lower middle income,Blend,694000000,5342575138,3.5119861
116,2007,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,172000000,1332655376,1.303938254
117,2007,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,16000000,2014371029,1.291425916
119,2007,POL,Poland,Europe & Central Asia,High income,IBRD,966000000,8589136364,2.002032828
121,2007,PRT,Portugal,Europe & Central Asia,High income,Not classified,60000000,4366184075,1.818055227
124,2007,QAT,Qatar,Middle East & North Africa,High income,Not classified,27000000,1562225275,1.9598416
125,2007,ROU,Romania,Europe & Central Asia,High income,IBRD,98000000,2607689942,1.49361826
126,2007,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD,90000000,43534994996,3.118542079
127,2007,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,20000000,55580440.8,1.453154876
128,2007,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,230000000,35469513009,8.527051209
129,2007,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA,33000000,2427072595,5.28804642
130,2007,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,12000000,192807975.5,1.349632225
131,2007,SGP,Singapore,East Asia & Pacific,High income,Not classified,358000000,6518528963,3.602552791
136,2007,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,0,1139194488,1.478388924
137,2007,SVN,Slovenia,Europe & Central Asia,High income,Not classified,2000000,692654912.6,1.442914542
138,2007,SWE,Sweden,Europe & Central Asia,High income,Not classified,51000000,6386221162,1.299981508
141,2007,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA,20000000,1599033723,4.100543653
142,2007,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,20000000,389135909.6,4.485948826
143,2007,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,8000000,3522634436,1.339697747
146,2007,TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,IBRD,6000000,124750514.8,0.568668582
148,2007,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,692000000,14987758360,2.217929321
149,2007,TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,IDA,1000000,166215543.3,0.762064569
150,2007,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,0,252119246.4,1.39447189
152,2007,URY,Uruguay,Latin America & Caribbean ,High income,IBRD,3000000,416045332.5,1.777167088
153,2007,USA,United States,North America,High income,Not classified,832000000,5.89586E+11,4.079655081
154,2007,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,775000000,4351560317,1.888993106
155,2007,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,8000000,1784217422,2.304757337
156,2007,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,66000000,1050499364,4.850723487
157,2007,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,910000000,3525684244,1.177517253
158,2007,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA,4000000,232278664.4,1.652418862
159,2008,AFG,Afghanistan,South Asia,Low income,IDA,150000000,240532594.6,2.335545702
160,2008,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,29000000,3163591147,3.573120365
162,2008,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,758000000,11571681416,3.668022649
163,2008,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,23000000,2788980205,0.762756475
165,2008,AUS,Australia,East Asia & Pacific,High income,Not classified,444000000,18633092318,1.798547172
166,2008,AUT,Austria,Europe & Central Asia,High income,Not classified,190000000,3746731607,0.870705123
167,2008,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,33000000,1607799226,3.291211146
169,2008,BEL,Belgium,Europe & Central Asia,High income,Not classified,203000000,6295821584,1.213898317
172,2008,BGD,Bangladesh,South Asia,Lower middle income,IDA,12000000,1030020018,1.059529893
173,2008,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,116000000,1161451478,2.133524802
174,2008,BHR,Bahrain,Middle East & North Africa,High income,Not classified,21000000,719946808.5,2.800161369
178,2008,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,3000000,327194708.2,1.96227205
179,2008,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,179000000,24452903036,1.441924093
183,2008,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA,0,31511483.79,1.587181968
184,2008,CAN,Canada,North America,High income,Not classified,420000000,19342058405,1.248621382
185,2008,CHE,Switzerland,Europe & Central Asia,High income,Not classified,17000000,4098459038,0.71863774
186,2008,CHL,Chile,Latin America & Caribbean ,High income,IBRD,392000000,4641877576,2.584010483
187,2008,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1809000000,78840802820,1.712334361
189,2008,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend,1000000,346586125.7,1.312339132
190,2008,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,18000000,159998426.6,0.808542544
192,2008,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,109000000,9051130502,3.744606437
199,2008,DEU,Germany,Europe & Central Asia,High income,Not classified,285000000,45098956312,1.209034004
201,2008,DNK,Denmark,Europe & Central Asia,High income,Not classified,93000000,4788030121,1.355004524
203,2008,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,1517000000,5172336907,3.024747141
204,2008,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,102000000,1646000000,2.665041736
205,2008,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,333000000,3779880350,2.180785485
206,2008,ESP,Spain,Europe & Central Asia,High income,Not classified,349000000,22227721830,1.367620485
207,2008,EST,Estonia,Europe & Central Asia,High income,Not classified,29000000,429662698.9,1.765049691
209,2008,FIN,Finland,Europe & Central Asia,High income,Not classified,135000000,3958118334,1.394917394
211,2008,FRA,France,Europe & Central Asia,High income,Not classified,5000000,55365965845,1.897075896
212,2008,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,496000000,72915407670,2.495723016
213,2008,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,132000000,1090160251,8.520118395
216,2008,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD,30000000,292754658.8,1.482309068
217,2008,GRC,Greece,Europe & Central Asia,High income,Not classified,483000000,10574138499,2.983052345
218,2008,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD,0,166494048.3,0.468231103
219,2008,GUY,Guyana,Latin America & Caribbean ,Upper middle income,IDA,0,30520593.42,1.587459707
220,2008,HND,Honduras,Latin America & Caribbean ,Lower middle income,IDA,0,132428400.6,0.953978556
221,2008,HRV,Croatia,Europe & Central Asia,High income,IBRD,99000000,1295957074,1.845187915
222,2008,HUN,Hungary,Europe & Central Asia,High income,Not classified,5000000,1867877499,1.181179736
223,2008,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,243000000,3232202215,0.578945805
224,2008,IND,India,South Asia,Lower middle income,IBRD,1858000000,33002376727,2.631462141
225,2008,IRL,Ireland,Europe & Central Asia,High income,Not classified,22000000,1582890834,0.575952987
226,2008,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,60000000,11081950209,2.683341921
227,2008,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,379000000,3116304020,2.367759824
229,2008,ISR,Israel,Middle East & North Africa,High income,Not classified,676000000,13803713469,6.391801085
230,2008,ITA,Italy,Europe & Central Asia,High income,Not classified,214000000,36839989746,1.535674984
231,2008,JAM,Jamaica,Latin America & Caribbean ,Upper middle income,IBRD,2000000,130699170.7,0.953354274
232,2008,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,161000000,1358383580,6.182098133
233,2008,JPN,Japan,East Asia & Pacific,High income,Not classified,693000000,46361468280,0.920247844
234,2008,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,25000000,1540810813,1.154668506
238,2008,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,1686000000,26072410508,2.489402769
239,2008,KWT,Kuwait,Middle East & North Africa,High income,Not classified,5000000,4430342077,3.006072721
240,2008,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,7000000,16267888.96,0.273820907
241,2008,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,1000000,1169485904,4.001314491
243,2008,LBY,Libya,Middle East & North Africa,Upper middle income,IBRD,16000000,1100068652,1.489851081
244,2008,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,79000000,1511363007,3.243601784
246,2008,LTU,Lithuania,Europe & Central Asia,High income,Not classified,27000000,541390194.6,1.131608552
248,2008,LVA,Latvia,Europe & Central Asia,High income,Not classified,46000000,581752272.9,1.627090883
249,2008,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,46000000,2944958473,3.183501428
252,2008,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,25000000,4334654124,0.390513228
254,2008,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,3000000,142919351.1,1.458547116
258,2008,MNG,Mongolia,East Asia & Pacific,Lower middle income,IBRD,14000000,66749871.33,0.823306745
262,2008,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,3000000,44464251.4,0.835636994
263,2008,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,500000000,4411795565,1.824843766
264,2008,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,66000000,266250021.2,3.137261574
265,2008,NER,Niger,Sub-Saharan Africa ,Low income,IDA,8000000,53630486.48,0.992537782
266,2008,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,33000000,1615533211,0.489084135
268,2008,NLD,Netherlands,Europe & Central Asia,High income,Not classified,154000000,12374848940,1.305319238
269,2008,NOR,Norway,Europe & Central Asia,High income,Not classified,615000000,6370921986,1.378241641
270,2008,NPL,Nepal,South Asia,Lower middle income,IDA,1000000,187069695.8,1.599971653
271,2008,NZL,New Zealand,East Asia & Pacific,High income,Not classified,3000000,1661242822,1.24607225
272,2008,OMN,Oman,Middle East & North Africa,High income,Not classified,72000000,3462483745,5.685014404
273,2008,PAK,Pakistan,South Asia,Lower middle income,Blend,1070000000,5226678787,3.459371004
276,2008,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,10000000,2270904919,1.250329088
278,2008,POL,Poland,Europe & Central Asia,High income,IBRD,632000000,9349421394,1.752139711
280,2008,PRT,Portugal,Europe & Central Asia,High income,Not classified,144000000,4812099462,1.836558719
283,2008,ROU,Romania,Europe & Central Asia,High income,IBRD,76000000,3000404945,1.399984366
285,2008,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA,8000000,67660359.62,1.392024078
286,2008,SAU,Saudi Arabia,Middle East & North Africa,High income,Not classified,391000000,38222933333,7.353438468
287,2008,SDN,Sudan,Sub-Saharan Africa ,Low income,IDA,128000000,3228000000,4.978932323
288,2008,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA,6000000,216870289.5,1.27948577
289,2008,SGP,Singapore,East Asia & Pacific,High income,Not classified,1114000000,7454324103,3.850026794
291,2008,SLV,El Salvador,Latin America & Caribbean ,Lower middle income,IBRD,3000000,173000000,0.961811832
293,2008,SSD,South Sudan,Sub-Saharan Africa ,Low income,IDA,44000000,896390706.9,5.761289033
294,2008,SVK,Slovak Republic,Europe & Central Asia,High income,Not classified,0,1411710285,1.459385052
296,2008,SWE,Sweden,Europe & Central Asia,High income,Not classified,53000000,6024791006,1.163747237
299,2008,SYR,Syrian Arab Republic,Middle East & North Africa,Low income,IDA,294000000,1732416848,3.552339806
300,2008,TCD,Chad,Sub-Saharan Africa ,Low income,IDA,75000000,611426848.7,5.885152631
302,2008,THA,Thailand,East Asia & Pacific,Upper middle income,IBRD,16000000,4465994062,1.53268866
307,2008,TUN,Tunisia,Middle East & North Africa,Lower middle income,IBRD,3000000,578911487.3,1.290624926
308,2008,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD,640000000,16809576495,2.199273923
310,2008,UGA,Uganda,Sub-Saharan Africa ,Low income,IDA,14000000,311856269.3,1.347344972
312,2008,URY,Uruguay,Latin America & Caribbean ,High income,IBRD,78000000,567703932.8,1.869524688
313,2008,USA,United States,North America,High income,Not classified,967000000,6.56756E+11,4.463827356
314,2008,VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,IBRD,739000000,5660456451,1.793552852
315,2008,VNM,Vietnam,East Asia & Pacific,Lower middle income,IBRD,183000000,2137625597,2.156372927
317,2008,YEM,"Yemen, Rep.",Middle East & North Africa,Low income,IDA,40000000,1196411766,4.445829498
318,2008,ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,IBRD,493000000,3285925081,1.145843314
319,2008,ZMB,Zambia,Sub-Saharan Africa ,Low income,IDA,2000000,278055135.8,1.552422316
320,2009,AFG,Afghanistan,South Asia,Low income,IDA,344000000,251869514.8,2.087412553
321,2009,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,20000000,3311193245,4.709610048
323,2009,ARE,United Arab Emirates,Middle East & North Africa,High income,Not classified,602000000,13836351259,5.457107773
324,2009,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,11000000,2981852290,0.886508577
325,2009,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,46000000,359499343.5,4.157049908
326,2009,AUS,Australia,East Asia & Pacific,High income,Not classified,778000000,18960138513,1.926908956
327,2009,AUT,Austria,Europe & Central Asia,High income,Not classified,286000000,3334754940,0.833379565
328,2009,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,145000000,1472909977,3.325421682
330,2009,BEL,Belgium,Europe & Central Asia,High income,Not classified,90000000,5620670063,1.160039922
332,2009,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,2000000,127333296.6,1.521454726
334,2009,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD,119000000,904961292.1,1.739511524
338,2009,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD,3000000,675426505.1,1.372576982
340,2009,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD,5000000,345777777.8,1.99410573
341,2009,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD,155000000,25648809911,1.538625697
343,2009,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified,33000000,349759722.8,2.941072032
344,2009,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD,13000000,330147278.7,3.215590561
346,2009,CAN,Canada,North America,High income,Not classified,101000000,18936226052,1.377555631
347,2009,CHE,Switzerland,Europe & Central Asia,High income,Not classified,39000000,4055544323,0.726566529
348,2009,CHL,Chile,Latin America & Caribbean ,High income,IBRD,329000000,3902221588,2.263607889
349,2009,CHN,China,East Asia & Pacific,Upper middle income,IBRD,1368000000,96601666753,1.886133152
352,2009,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA,44000000,122378011,0.656239765
354,2009,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD,249000000,9033202673,3.885353868
355,2009,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend,2000000,8402927.293,0.490877612
360,2009,DEU,Germany,Europe & Central Asia,High income,Not classified,339000000,44528927836,1.310604073
361,2009,DNK,Denmark,Europe & Central Asia,High income,Not classified,130000000,4337355690,1.350178625
362,2009,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD,10000000,320855289.2,0.66746117
363,2009,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD,1070000000,5280588156,3.848513698
364,2009,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD,77000000,1949000000,3.117418088
365,2009,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD,159000000,4017404478,2.032645043
366,2009,ESP,Spain,Europe & Central Asia,High income,Not classified,231000000,20178274985,1.358353837
367,2009,EST,Estonia,Europe & Central Asia,High income,Not classified,43000000,353366576.6,1.78893839
369,2009,FIN,Finland,Europe & Central Asia,High income,Not classified,42000000,3940584835,1.560742356
371,2009,FRA,France,Europe & Central Asia,High income,Not classified,76000000,56441455398,2.098147335
372,2009,GBR,United Kingdom,Europe & Central Asia,High income,Not classified,376000000,64010506670,2.653485016
373,2009,GEO,Georgia,Europe & Central Asia,Upper middle income,IBRD,38000000,603655214.9,5.606597051
374,2009,GHA,Ghana,Sub-Saharan Africa ,Lower middle income,IDA,11000000,118290743.9,0.455352364
375,2009,GMB,"Gambia, The",Sub-Saharan Africa ,Low income,IDA,16000000,7095299.575,0.489283634
377,2009,GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,IBRD,68000000,371927587.9,2.474929604
378,2009,GRC,Greece,Europe & Central Asia,High income,Not classified,1224000000,10641348183,3.224841138
382,2009,HRV,Croatia,Europe & Central Asia,High income,IBRD,4000000,1129098496,1.803670235
383,2009,HUN,Hungary,Europe & Central Asia,High income,Not classified,4000000,1475818169,1.128645477
384,2009,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD,442000000,3304459138,0.571133892
385,2009,IND,India,South Asia,Lower middle income,IBRD,1863000000,38722154392,3.129387179
386,2009,IRL,Ireland,Europe & Central Asia,High income,Not classified,0,1415725373,0.600227051
387,2009,IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,IBRD,95000000,12584623339,3.047705549
388,2009,IRQ,Iraq,Middle East & North Africa,Upper middle income,IBRD,399000000,3237179487,2.899140076
390,2009,ISR,Israel,Middle East & North Africa,High income,Not classified,155000000,12754237935,6.148111929
391,2009,ITA,Italy,Europe & Central Asia,High income,Not classified,101000000,34054481324,1.554210702
393,2009,JOR,Jordan,Middle East & North Africa,Upper middle income,IBRD,235000000,1568309859,6.584000837
394,2009,JPN,Japan,East Asia & Pacific,High income,Not classified,622000000,51465158208,0.983777357
395,2009,KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,IBRD,39000000,1271890276,1.103033242
396,2009,KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Blend,34000000,578071672.4,1.561448035
398,2009,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA,4000000,136589738,1.313127999
399,2009,KOR,"Korea, Rep.",East Asia & Pacific,High income,Not classified,794000000,24575661939,2.603514106
400,2009,KWT,Kuwait,Middle East & North Africa,High income,Not classified,9000000,4208871206,3.971806323
401,2009,LAO,Lao PDR,East Asia & Pacific,Lower middle income,IDA,26000000,13973614.53,0.217194753
402,2009,LBN,Lebanon,Middle East & North Africa,Lower middle income,IBRD,52000000,1426202322,4.020042001
405,2009,LKA,Sri Lanka,South Asia,Lower middle income,IBRD,21000000,1522232372,3.16189871
407,2009,LTU,Lithuania,Europe & Central Asia,High income,Not classified,27000000,404826028.7,1.082803783
408,2009,LUX,Luxembourg,Europe & Central Asia,High income,Not classified,7000000,222959826.9,0.420933763
409,2009,LVA,Latvia,Europe & Central Asia,High income,Not classified,11000000,363809251.1,1.38226776
410,2009,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,39000000,3055069442,3.288651847
412,2009,MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,0,70985221.42,0.830202949
413,2009,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,59000000,4514233914,0.501556275
415,2009,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,10000000,144434608.4,1.417282858
424,2009,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,1499000000,3964817705,1.871486944
425,2009,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,15000000,299516030.2,3.374363684
426,2009,NER,Niger,Sub-Saharan Africa ,Low income,IDA,1000000,53000300.73,0.982009828
427,2009,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,65000000,1504486172,0.505855628
428,2009,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA,14000000,41721772.9,0.502751001
429,2009,NLD,Netherlands,Europe & Central Asia,High income,Not classified,293000000,12131812076,1.397633322
430,2009,NOR,Norway,Europe & Central Asia,High income,Not classified,583000000,6195603602,1.60429503
432,2009,NZL,New Zealand,East Asia & Pacific,High income,Not classified,56000000,1623013593,1.353283402
433,2009,OMN,Oman,Middle East & North Africa,High income,Not classified,94000000,3367490247,6.959297654
434,2009,PAK,Pakistan,South Asia,Lower middle income,Blend,1191000000,5274564971,3.265223993
435,2009,PAN,Panama,Latin America & Caribbean ,High income,IBRD,7000000,0,0
436,2009,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,43000000,1848562930,1.521644203
